LABEL	preprocessing_A
FAVOR	para autenticos intelectual problema politicos cotidiano importar decir mediocre verdad refinar sapiencia pasar preferir discutir erudito lectura moda intelectual
AGAINST	españa preso politicos politicos preso saltarse constitucion estar derecho venir golpe estar vida
FAVOR	ines arrimar afirmar llevar escoltar cataluña paso cataluña #tvmanipula realidad cataluña año jefe oposicion llevar escoltar
AGAINST	#trapote cortar carretero #oct coaccion agresion protestar barricada interrogar letrado #pina gustar complecerle #juiciodelproces
FAVOR	indepes catalán encender llamar fuego republicano pedir colaboracion republicano español dejar solo hacer hacer ahora
AGAINST	politicos presentar ejercer oposicion ejercer oposicion manuela manuela alcaldesa sorites
FAVOR	feminismo arrimar liberal cuerpo mujer someter ofertar demandar trozar carne pato probablemente consideracion bienestar animal#motivos #hacialahuelgafeminista
AGAINST	fiscal entonces todo timar seguir chupar presupuestar realidad preparar nada declarar independencia turull basicamente culpar votante idiota processista hajaja quin zasca gran turull
AGAINST	mes rufian mes dejaria congreso liderar listo proximas elección general monedar plata
AGAINST	psoe necesitar voto gobernar creer aceptaria imposible porque saltar constitucion estatut separatista ademar votar millón persona justiquen seducirles
FAVOR	creer independencia violar derecho fundamental mezclar entender estar derecho permitir partido politico ultraderechista enalzamiento fascismo diario aleman noticiar
AGAINST	entender explicar comportamiento arrimar nivel cataluña barcelona poder votarla ciudadano necesitar cataluna malo resultar adios
AGAINST	cheneralitat amigo acostumbrar mafieta separacion poder chordi xanxez olvidar españa democracia dictar sentenciar absolutorio esperar juez sacar cortijo
AGAINST	bastar gustar escuchar #juicioproces saltar tertulio
AGAINST	quejar jefe dar catalula mano independentista ahorrar
FAVOR	acabar votar ratificar candidato presidencia gobierno dar #referendumiu ratificacion acordar convergencia #eleccionesgenerales votar #lafuerzadelocomun #primariasiu
AGAINST	carmen calvo comparecer moncloa calidad vicepresidente criticar partido politicos formar partidario cataluña poder lamentable
AGAINST	creer persona rien rico jugar politicos dios
FAVOR	este españa elegira elegir abril mayar concejal sobornar minoria todo entornar tonto democracia ganar mayorias piensalo ratito
NEUTRAL	pior carnaval existiu ficando velho muito ruim mesmo
FAVOR	diario aleman criticar contundencia trasladar preso preso politicas
FAVOR	cuando aplicais decada corrupcion despilfarrar comunidad madrid gobierno
AGAINST	cuenta separatista twitter identificar toro foto temer declarar supr
FAVOR	interpretar cosa sino mentir bellaco ofender devolver presupuesto precisamente votar presupuesto socio participar aplicar catalunya ciudadano
FAVOR	encantar unionista sacar ranking justificar españa democracia avanzar repetir españa restar estar democracia acercar cierto odiar españa contrario
AGAINST	mossos citar secretar crear catalan software inteligencia #jacobialcalde #barcelona #españa
FAVOR	resistencia organizar pasivo inteligente mundo como decia ghandi violencia colaboracion sabiduria verlo #republicacatalana
AGAINST	anoche reportaje telediario formar efusivo semana waterlo decirle puigdemont republica viajar brusela enterar
FAVOR	#thisistherealspain gobierno boicotear cobertura juicio
AGAINST	comision parlament resultar tradicion antimonarquica semilla republica construir cataluña republicano otro atacar jefe estar gobierno pestañear ilegalizacion partido anticonstitucional
FAVOR	definir conflicto conflicto independencia
NEUTRAL	activista berlinés reunen firmar pedir referendum impedir alquilar inmobiliario vivienda
AGAINST	paralelo juicio golpista panfletada separatista vanguardia explicar version suceder miembro secta ridiculizar acusación juez fiscal ensalzar indefendible acusar
NEUTRAL	demais tudo
FAVOR	pobre borrell tonto fallo cerebro pobre idiota gilipollas cojón instaurar democracia francia alemania holanda belgica luxemburgo tonto culo ejercitar invasor guerra mundial
NEUTRAL	como fizera longo vida bolsonaro largo companheiro ferido estrada jogada perigosa podar criar inimigo alto potencial destruição #euapoiointercept
AGAINST	mosso trapero forn mismo video mostrar profesionalidad cuerpo mossos desobedecer ordenar judicial colaborar gobierno golpista delincuente
NEUTRAL	uno alcalde denunciar juicio democracia
FAVOR	iglesia nacer constantino grande soñar justar noche batallar puente milvio majencio octubre angel presentar palabra signar vinces signar venceras tratar crismon
NEUTRAL	esse blocar falar
AGAINST	querer opinion tener demostrar documentar juridico golpista
FAVOR	#rumbournasarv évole retozar porqueria cerdito mierda equidistante varios cadena llevais mes criminalizar insultar indepes cadena pagar paston incendiar miserable
FAVOR	querer mujer jovenes pensionista parar dependiente trabajador sentir escuchadoscon oportunidad clase medio fortalecer justicia social #elgobiernonecesario #laespañaquequieres
AGAINST	#quenoensenfrontin ahora franco salir vallar caidos torrar convertir cataluña vallar cruzar
NEUTRAL	calle anzoategui llenar respaldar regresar guaido
AGAINST	millo independentismo violentar hablar ser
AGAINST	manifestacion domingo pedir elección probablemente historica sanchez difundira ultraderecha radical plan españa polarizacion presentarse fascismo otro cosa colar
AGAINST	tener paciencia presidente ccaa incluso soportar pasar insultar democracia español decir preso politicos españa dictadura
NEUTRAL	inesarrimadas mucho colaborador dedicar insultar constitucionalista
AGAINST	partido psoe pactar comunista separatista filoterroristas cordon sanitario pais
AGAINST	proponer hastag #sanchezdimision para protestar enesima traicion españa presidente pedro sanchez aceptar mediacion internacional quim torrar pasalo
NEUTRAL	guaido reune miembro burocracia venezolano regresar venezuela
AGAINST	foro penal informar ocurrir desaparición forzoso cortar mediano plazo detenido privar libertar preso politicos fecho detenido menor mujer
AGAINST	gilipollas malgastar corto vida cosa bromar #juicioproces
AGAINST	opcion gobierno seguro evitar referendum ilegal este suerte cabeza puigdemont
NEUTRAL	aqui incendiar social peticion ultraderecha parlamentar andaluz tuit perpetrador #apuntaminombrevox suscribir
FAVOR	tener amigo partido politicos cambiar nada seguir ir comprar sitio tratar gente convivencia antes donde fracturar
FAVOR	respetar victimar fascismo violencia generar respondere preguntar extremo derecho josep rull negar interrogatorio abogar
NEUTRAL	agotar plazo españa reconocera lunes guaido
AGAINST	dejarnos derecho millón ciudadano catalán saltandose ley nacional regional democracia maduro
AGAINST	amenazar detener guaido hacer amenazar tomar asamblea nacional hacer amenazar romper relacionar eeuu union europeo hacer amenazar plomar dejar repentinamente reprimir cual conclusion #vamosbien
NEUTRAL	conferenciar change change reune experto clima representante politicos centenar paises
FAVOR	ir acabar semana intensar mitings politicos poesia
AGAINST	cierto prohiben terminos decir permitir quemar constitucion
AGAINST	opinar sobar independentismo libertar ciudadano obsesion cataluña
AGAINST	indepes convencer hombre pisar luna
AGAINST	#sanchismo pactar separatista levantar control cuenta torrar abrir embajada propaganda nacionalista dinero #precampañaonar
AGAINST	prender fuego iglesia écija quemar templo comenzar vaticano guiño politicas gobierno españa #voxextremanecesidad #voxsaleaganar tribuna españa
FAVOR	vivir andalucia union andaluz sera catalán indis poner intenso arrimar preferir viggo mortensen socio omnium vivir catalunya
AGAINST	entendio independentista catalan comer
NEUTRAL	ejercitar venezolano matar indigenas frontero brasil
NEUTRAL	bolsonaro causar indignacion video obsceno carnaval criticar comparsa
FAVOR	querer salir libre pero salir volver puesto impediran independencia palabreria decir favor como torrar
AGAINST	extraño dictadura españa independentista controlar principal productor televisivo derecho futbol mitad televisión autonomicas ciento escuela decena universidad
AGAINST	#pensamiento cuando sostener grandeza independentismo pluralidad voluntarismo falso opinar
AGAINST	dejar destinar #españa mano populista izquierdo derecho separatismo #vallsbcn
AGAINST	pedir ministro justicia proteger juez frente ataque independentista firmar aqui
FAVOR	lluis companys golpe republica curioso juzgar politicos actual llevar mitad gobierno companys querian pactar franco poder explicar
FAVOR	criticar subir soldar poner monarquia tampoco criticar noindepes unica mision atacar indepes
FAVOR	cagar cerrajeria devastar puerta portal pegatina #judiciproces #judicifarsa #judicidelavergonya #juicioproces #juicioalproces #juiciofarsa #juiciogolpistas #judicitvcatradio
FAVOR	recordar noticiar falso euro pacific bank pablo iglesias periodismo ferreras consistir reunirse cloaca estar fabricar #fakenews
FAVOR	#últimahora presidente generalitat valenciano ximo puig comunicar adelantar elección comunidad valenciano
FAVOR	andrea levy pactar partido constitucion ione belarra contestar dañar constitucion organizacion criminal corrupcion sanidad educacion #felizmartes #lacafeteraelcandidato #laespañaquequieres
NEUTRAL	viajar antartida ministro presidente rosa menendez inaugurar sabado remodelacion basar antartica español juan carlos instalación cientificas csic
NEUTRAL	entrevistar diego cantero componer necesidad viciar cantante murciano iniciar barts girar presentar observatorio
AGAINST	cualquiera persona minimo honor comprometer suyo presentaria asumiria responsabilidad fuerte puigdemont
FAVOR	trapote vivir estar democratico ciudadano sentir derecho vulnerar presentar denunciar #juicioproces pausar medio hora supremo
FAVOR	principiar exageracion desfiguracion convertir anecdota pequeño amenazar gravar todo testigo bombardear noticiar falso exagerar desfigurar someter independentismo catalan okdiario baluarte
FAVOR	siempre infravalorar inteligencia convencer imagen cabal alto tribunal juzgar preso estrategia consistir imagen persona bondadoso encantador
FAVOR	poco llegar junto catolica sostener fiel sacar libretita ateo cumplir mandar constitucion españa aconfesional confesion sustentar poblar españolcomoyo
AGAINST	mientras asesino venezolano mientras vestir obligar exiliarse mientras comunidad internacional clamar restitucion democracia venezuela alguno divertir maduro
AGAINST	pues resultar gobierno mediocre indocumentado aupar poder separatista antisistemas filoterroristas necesitar mediador dialogar dios banda provinciano golpista complejo superioridad pasar ver
NEUTRAL	maioria brasileiros votou nessa figurar nefasto dirigir pais outros enganaram perceberam erro manifestações deste carnaval mostram isso foliar seguir frente
NEUTRAL	mariano rajoy expresidente español pensar justar aplicar estar excepcion #judicitvcatradio
AGAINST	osea audiencia ries votandolo creer saber menospreciar audiencia apoyar presentador #eleccionesvotoderechas
AGAINST	colgar noticiar servir peliculas terror gracia #siguemeytesigovox
FAVOR	impedimento supremo preso politicos poder declarar catalan provocar avalancha criticar #juicioproces
AGAINST	en europeo igualdad salarial brecha salarial seguir hablar mejorar democracia mejorar condicionar vida mujer ciudadano trabajador ️nuestro manifestar
NEUTRAL	você foda caro porque fazer aquilo
FAVOR	cuando quitar mossos posiblemente educacion referendum clavijo punta delpijo
FAVOR	otro inversor huir despavorir catalunya indepe
NEUTRAL	impactante caracas araure estar portugués #feb #fvzlaenlacalle #gloriaalbravopueblo venezuela
